epoch,train_loss,val_loss,val_accuracy
1,0.013631113288482037,0.013359231216886432,0.9850968703427719
2,0.009762132290232692,0.0022568749565764394,0.9940387481371088
3,0.004053266367593668,0.002303876130611878,0.992548435171386
4,0.0032277463110433066,0.0005728561402777958,1.0
5,0.002068232282833075,0.0003929195969552739,1.0
6,0.0017983154321627947,0.0011050696398129602,0.9970193740685543
7,0.0012958131084368153,0.0002721437403325864,0.9985096870342772
8,0.002568228484819293,0.0003127942254135343,0.9970193740685543
9,0.000820813121798927,0.00024725098505152263,1.0
10,0.0010498844145685983,0.0002576793581639616,0.9985096870342772
11,0.0011861824678931771,0.00016685366412188724,1.0
12,0.0007468667729194833,0.0003496481794960229,0.9970193740685543
13,0.0012400482994213674,0.0028711813468070284,0.9970193740685543
14,0.00168539865540266,0.0004704965691926664,0.9985096870342772
15,0.001145198592618649,0.00103687467788856,0.9985096870342772
